production_budget_usd,worldwide_gross_usd
25000000.00,5516708.00
20000000.00,5531756.00
12000000.00,5549923.00
30000000.00,5575648.00
40000000.00,5578259.00
19200000.00,5617460.00
25000000.00,5654777.00
8000000.00,5656388.00
18000000.00,5675599.00
9000000.00,5680796.00
28000000.00,5686694.00
5500000.00,5692941.00
20000000.00,5694213.00
7000000.00,5694308.00
8000000.00,5696391.00
8000000.00,5706168.00
19000000.00,5745503.00
25000000.00,5778353.00
14000000.00,5782198.00
9200000.00,5806666.00
16000000.00,5825314.00
18000000.00,5828466.00
13000000.00,5871603.00
20000000.00,5918742.00
11000000.00,5942218.00
10000000.00,5950002.00
15000000.00,5953886.00
19100000.00,5965646.00
50000000.00,5983043.00
18000000.00,6000000.00
10000000.00,6000000.00
10000000.00,6030047.00
22000000.00,6047691.00
10000000.00,6089100.00
20000000.00,6093725.00
13500000.00,6118683.00
26000000.00,6154172.00
6000000.00,6176114.00
25000000.00,6192599.00
10000000.00,6197866.00
12000000.00,6200000.00
20000000.00,6201757.00
6000000.00,6216897.00
10000000.00,6244618.00
13000000.00,6276869.00
50000000.00,6291602.00
80000000.00,6300451.00
40000000.00,6341825.00
15000000.00,6379575.00
6500000.00,6423605.00
39000000.00,6429865.00
35000000.00,6448817.00
13000000.00,6459183.00
30000000.00,6460758.00
10000000.00,6491969.00
38000000.00,6504442.00
55000000.00,6521829.00
7000000.00,6537179.00
15000000.00,6551310.00
14000000.00,6552255.00
12000000.00,6553186.00
15000000.00,6563402.00
6500000.00,6568446.00
11000000.00,6586324.00
6000000.00,6591365.00
16000000.00,6615452.00
50000000.00,6626115.00
8000000.00,6632950.00
10000000.00,6646669.00
32000000.00,6678033.00
11000000.00,6712903.00
10000000.00,6719864.00
18000000.00,6734844.00
22000000.00,6756412.00
15000000.00,6775458.00
25000000.00,6792768.00
5800000.00,6800000.00
6750000.00,6812530.00
21000000.00,6830957.00
8400000.00,6831069.00
9600000.00,6842580.00
6000000.00,6852450.00
20000000.00,6882696.00
17900000.00,6908640.00
20000000.00,6947084.00
12000000.00,6982680.00
10000000.00,6998359.00
40000000.00,7000000.00
15300000.00,7000000.00
12500000.00,7000000.00
30000000.00,7005468.00
5600000.00,7009668.00
7000000.00,7017859.00
23000000.00,7018525.00
20000000.00,7022183.00
